Rank,Δ,Country or territory,HDI value,%annual growth(2010–2022)
149,(10),Congo,0.593,0.17%
150,(5),Angola,0.591,1.14%
151,(1),Cameroon,0.587,1.10%
152,(3),Comoros,0.586,0.94%
153,(2),Zambia,0.569,0.63%
154,(5),Papua New Guinea,0.568,1.12%
155,(18),Timor-Leste,0.566,1.01%
156,(4),Solomon Islands,0.562,0.13%
157,(1),Syria,0.557,1.42%
158,(1),Haiti,0.552,1.74%
159,(2),Uganda,0.55,0.80%
,(1),Zimbabwe,1.12%,
161,(5),Rwanda,0.548,1.02%
,(2),Nigeria,0.97%,
163,(2),Togo,0.547,1.29%
164,(3),Pakistan,0.54,0.71%
,(4),Mauritania,0.51%,
166,(4),Ivory Coast,0.534,1.07%
167,(2),Tanzania,0.532,0.64%
168,,Lesotho,0.521,0.86%
169,(1),Senegal,0.517,0.80%
170,(6),Sudan,0.516,0.45%
171,(4),Djibouti,0.515,1.67%
172,(1),Malawi,0.508,0.81%
173,(7),Benin,0.504,0.39%
174,(5),Gambia,0.495,0.82%
175,,Eritrea,0.493,0.62%
176,(5),Ethiopia,0.492,1.55%
177,,Liberia,0.487,0.48%
,(5),Madagascar,0.02%,
179,(1),Guinea-Bissau,0.483,0.76%
180,,DR Congo,0.481,1.06%
181,(2),Guinea,0.471,1.06%
182,(8),Afghanistan,0.462,0.24%
183,(1),Mozambique,0.461,1.04%
184,(1),Sierra Leone,0.458,0.80%
185,(2),Burkina Faso,0.438,1.37%
186,(5),Yemen,0.424,1.30%
187,(1),Burundi,0.42,0.32%
188,,Mali,0.41,0.08%
189,(2),Niger,0.394,1.34%
,,Chad,0.66%,
191,,Central African Republic,0.387,0.67%
192,(2),South Sudan,0.381,0.53%
193,NA[b],Somalia,0.38,NA[c]
